Id,Make,Fueltype,Numofdoors,Bodystyle,Drivewheels,enginelocation,Wheelbase,Length,Width,Height,Cylinders,Enginesize,Hp,city_mpg,hwy_mpg,price,symboling
1,alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,four,130,111,21,27,13495,3
2,alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,four,130,111,21,27,16500,3
3,alfa-romero,gas,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,six,152,154,19,26,16500,1
4,audi,gas,four,sedan,fwd,front,99.8,176.6,66.2,54.3,four,109,102,24,30,13950,2
5,audi,gas,four,sedan,4wd,front,99.4,176.6,66.4,54.3,five,136,115,18,22,17450,2
6,audi,gas,two,sedan,fwd,front,99.8,177.3,66.3,53.1,five,136,110,19,25,15250,2
7,audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.7,five,136,110,19,25,17710,1
8,audi,gas,four,wagon,fwd,front,105.8,192.7,71.4,55.7,five,136,110,19,25,18920,1
9,audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.9,five,131,140,17,20,23875,1
10,audi,gas,two,hatchback,4wd,front,99.5,178.2,67.9,52,five,131,160,16,22,,0
11,bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,four,108,101,23,29,16430,2
12,bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,four,108,101,23,29,16925,0
13,bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,six,164,121,21,28,20970,0
14,bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,six,164,121,21,28,21105,0
15,bmw,gas,four,sedan,rwd,front,103.5,189,66.9,55.7,six,164,121,20,25,24565,1
16,bmw,gas,four,sedan,rwd,front,103.5,189,66.9,55.7,six,209,182,16,22,30760,0
17,bmw,gas,two,sedan,rwd,front,103.5,193.8,67.9,53.7,six,209,182,16,22,41315,0
18,bmw,gas,four,sedan,rwd,front,110,197,70.9,56.3,six,209,182,15,20,36880,0
19,chevrolet,gas,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,three,61,48,47,53,5151,2
20,chevrolet,gas,two,hatchback,fwd,front,94.5,155.9,63.6,52,four,90,70,38,43,6295,1
